scenario_id	domain	domain_index	brief	audience_id	audience_label	reference_image	hex_1	hex_2	hex_3	hex_4	hex_5	lab_L_1	lab_a_1	lab_b_1	lab_L_2	lab_a_2	lab_b_2	lab_L_3	lab_a_3	lab_b_3	lab_L_4	lab_a_4	lab_b_4	lab_L_5	lab_a_5	lab_b_5	annotator_a1	annotator_a2	annotator_a3	annotator_kappa	design_intent_tags	annotation_date	version
CRDS-WEB-0001	web_ui	0	A educational quiz application for teens (13-17), in a dark-mode-first treatment; primarily viewed on mobile devices. Symmetrical composition. Status indicators (success, warning, error) must be clearly distinguishable. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-WEB-0001.jpg	#FFB00C	#F37C0A	#2095C2	#93CDF0	#02374E	77.49	18.29	79.35	64.56	40.21	70.14	57.75	-15.23	-32.01	79.7	-9.99	-23.14	21.19	-6.5	-18.58	A1	A2	A3	0.87	friendly;dynamic;professional	01/04/2024	1
CRDS-WEB-0002	web_ui	0	A museum-collection browser for children (under 12), with seasonal-autumn overtones; primarily viewed on mobile devices. Single hero anchor with supporting elements. The work must hold up against busy backgrounds in the deployment context. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-WEB-0002.jpg	#0E2A4A	#245475	#65ABDE	#E0E6EF	#E7EDF6	16.72	2.43	-22.91	33.98	-4.79	-23.58	67.4	-7.67	-32.46	91.09	-0.33	-5.06	93.54	-0.33	-5.03	A1	A2	A3	0.75	official;calm;clarity	01/04/2024	1
CRDS-WEB-0003	web_ui	0	A smart-home control panel for older adults (50+), with seasonal-autumn overtones; primarily viewed on desktop screens. Symmetrical composition. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#0F2E43	#193F74	#66A4DD	#E0E6EF	#FCFCFC	17.74	-3.22	-16.51	26.8	6.91	-34.34	65.43	-3.88	-34.96	91.09	-0.33	-5.06	98.96	-0.0	0.0	A1	A2	A3	0.8	dynamic;modern;focused;energetic	01/04/2024	1
CRDS-WEB-0004	web_ui	0	A online-banking dashboard for general adults (30-49), with seasonal-autumn overtones; must reproduce well on backlit large-format displays. Layout uses a clear visual hierarchy. Status indicators (success, warning, error) must be clearly distinguishable. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#102D41	#214A73	#56A2CF	#C9D3E3	#E8ECF1	17.31	-3.16	-15.8	30.54	0.34	-27.74	63.61	-10.38	-30.09	84.25	-0.26	-9.03	93.23	-0.42	-2.88	A1	A2	A3	0.79	trust;clarity;energetic;calm	02/04/2024	1
CRDS-WEB-0005	web_ui	0	A analytics dashboard for marketers for young adults (18-29), evoking modernity; must reproduce well in print. Single hero anchor with supporting elements. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)		#242B30	#4B525E	#677177	#E4E4E4	#FFFFFF	17.07	-1.67	-4.26	34.68	0.12	-7.92	47.01	-2.42	-4.6	90.59	-0.0	0.0	100.0	-0.0	0.0	A1	A2	A3	0.77	playful;focused	03/04/2024	1
CRDS-WEB-0006	web_ui	0	A volunteer-coordination app for older adults (50+), using a soft pastel palette; must respect existing brand-colour guidelines. Symmetrical composition. This is a fresh brand expression with no prior colour constraints. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0006.jpg	#102A46	#184773	#6096D3	#DAE0E8	#F6F6F6	16.54	1.06	-20.44	29.26	0.91	-29.8	60.78	-0.32	-36.68	88.94	-0.52	-4.6	96.88	-0.0	0.0	A1	A2	A3	0.72	professional;friendly;calm;neutral	01/04/2024	1
CRDS-WEB-0007	web_ui	0	A tax-filing assistant for professional / b2b, in a playful, hand-drawn style; must work in monochrome fallback. Strong use of negative space. Brand identity is established and the palette must respect existing guidelines. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#0B263B	#194370	#67ABDF	#DEE8F0	#FFFFFF	14.25	-1.7	-16.45	27.82	2.53	-30.18	67.53	-6.95	-32.81	91.48	-1.82	-5.03	100.0	-0.0	0.0	A1	A2	A3	0.8	energetic;calm;professional	01/04/2024	1
CRDS-WEB-0008	web_ui	0	A language-learning platform for general adults (30-49), with seasonal-summer overtones; viewed in low-light indoor settings. Type-heavy layout. The palette should feel current but should not chase fleeting trends. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#122D43	#195076	#5189CF	#D7DEE7	#E8EEF4	17.51	-1.93	-16.86	32.37	-3.63	-26.75	56.23	2.91	-41.62	88.19	-0.66	-5.21	93.81	-0.89	-3.59	A1	A2	A3	0.78	focused;professional;trust	03/04/2024	1
CRDS-WEB-0009	web_ui	0	A expense-tracking application for professional / b2b, in a muted desaturated palette; must respect existing brand-colour guidelines. Strong use of negative space. This is a fresh brand expression with no prior colour constraints. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0009.jpg	#2A2943	#464A65	#948591	#CEB5AE	#F0E5E1	17.84	7.82	-16.22	32.12	5.34	-16.27	57.19	7.9	-4.35	75.59	7.8	6.85	91.69	3.04	3.28	A1	A2	A3	0.83	dynamic;calm	01/04/2024	1
CRDS-WEB-0010	web_ui	0	A logistics-tracking interface for general adults (30-49), respecting WCAG-AAA contrast; must remain legible in small thumbnails. Symmetrical composition. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#0D2A46	#204977	#5AAADD	#D5E0F2	#EEF4FB	16.42	0.53	-20.64	30.41	2.39	-30.46	66.63	-9.64	-33.14	88.86	-0.19	-10.02	95.93	-0.7	-4.05	A1	A2	A3	0.77	minimal;dynamic;neutral	03/04/2024	1
